sub,alpha_ind,sigma_ind_pre
sub1247,0.0792401833875,0.042010725175
sub125,0.193719425,0.08313956665000001
sub1252,0.232656458225,0.044556269200000005
sub1255,0.1153835447125,0.051599789425
sub1256,6.85085290375,0.0747183475625
sub1258,0.23191930756249998,0.062482718024999995
sub1259,0.0864781650625,0.0473029868375
sub126,0.10606368495,0.0419391861
sub1260,0.0919988295,0.051041529775000004
sub1262,0.1117843460875,0.054060379887499996
sub1264,2.8338327475000002,0.0818276446375
sub1265,0.1323459424875,0.07961020383749999
sub1267,0.49963482925,0.10476426276249999
sub1268,0.58022447275,0.056244058925
sub127,0.1570182492875,0.0415109001375
sub1271,0.105738806425,0.037369939649999996
sub1272,0.081291389275,0.055719685587500005
